SrNo,Parameter,Unit,Date,Value,Data Source,Location,Latitude,Longitude
994,Sodium,mg/l,"[01-12-2018, 31-12-2018]",,CPCB,Diggian,30.6762491,76.7282489
995,Total Coliform,MPN/100ml,"[01-12-2018, 31-12-2018]",2.7E+6,CPCB,Diggian,30.6762491,76.7282489
996,Faecal Coliform,MPN/100ml,"[01-12-2018, 31-12-2018]",1.4E+5,CPCB,Diggian,30.6762491,76.7282489
997,BOD,mg/l,"[01-04-2020, 30-04-2020]",55.0,CPCB,Diggian,30.6762491,76.7282489
998,TSS,mg/l,"[01-04-2020, 30-04-2020]",28.0,CPCB,Diggian,30.6762491,76.7282489
999,Faecal Coliform,MPN/100ml,"[01-04-2020, 30-04-2020]",0.0,CPCB,Diggian,30.6762491,76.7282489
1000,BOD,mg/l,"[01-05-2020, 31-05-2020]",14.0,CPCB,Diggian,30.6762491,76.7282489
1001,TSS,mg/l,"[01-05-2020, 31-05-2020]",6.0,CPCB,Diggian,30.6762491,76.7282489
1002,Faecal Coliform,MPN/100ml,"[01-05-2020, 31-05-2020]",3.3E+5,CPCB,Diggian,30.6762491,76.7282489
1003,BOD,mg/l,"[01-06-2020, 30-06-2020]",12.0,CPCB,Diggian,30.6762491,76.7282489
1004,TSS,mg/l,"[01-06-2020, 30-06-2020]",14.0,CPCB,Diggian,30.6762491,76.7282489
1005,Faecal Coliform,MPN/100ml,"[01-06-2020, 30-06-2020]",0.0,CPCB,Diggian,30.6762491,76.7282489
1006,pH,-,"[01-01-2018, 31-01-2018]",6.6,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1007,Conductivity,µs/cm,"[01-01-2018, 31-01-2018]",644.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1008,DO,mg/l,"[01-01-2018, 31-01-2018]",0.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1009,COD,mg/l,"[01-01-2018, 31-01-2018]",261.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1010,BOD,mg/l,"[01-01-2018, 31-01-2018]",161.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1011,NO3-N,mg/l,"[01-01-2018, 31-01-2018]",5.9,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1012,NH3-N,mg/l,"[01-01-2018, 31-01-2018]",23.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1013,Phosphate,mg/l,"[01-01-2018, 31-01-2018]",2.55,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1014,TSS,mg/l,"[01-01-2018, 31-01-2018]",100.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1015,TDS,mg/l,"[01-01-2018, 31-01-2018]",326.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1016,FS,mg/l,"[01-01-2018, 31-01-2018]",267.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1017,Turbidity,NTU,"[01-01-2018, 31-01-2018]",110.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1018,TH as CaCO3,mg/l,"[01-01-2018, 31-01-2018]",190.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1019,Ca as CaCO3,mg/l,"[01-01-2018, 31-01-2018]",118.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1020,Mg as CaCO3,mg/l,"[01-01-2018, 31-01-2018]",72.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1021,Sulphate,mg/l,"[01-01-2018, 31-01-2018]",66.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1022,Chloride,mg/l,"[01-01-2018, 31-01-2018]",42.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1023,Total alkalinity as CaCO3,mg/l,"[01-01-2018, 31-01-2018]",260.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1024,P-Alkalinity,mg/l,"[01-01-2018, 31-01-2018]",0.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1025,Fluoride,mg/l,"[01-01-2018, 31-01-2018]",0.28,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1026,Colour,Hazen,"[01-01-2018, 31-01-2018]",30.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1027,Boron(B),mg/l,"[01-01-2018, 31-01-2018]",0.19,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1028,TKN,mg/l,"[01-01-2018, 31-01-2018]",4.2,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1029,Potassium,mg/l,"[01-01-2018, 31-01-2018]",7.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1030,Sodium,mg/l,"[01-01-2018, 31-01-2018]",23.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1031,Total Coliform,MPN/100ml,"[01-01-2018, 31-01-2018]",2.2E+4,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1032,Faecal Coliform,MPN/100ml,"[01-01-2018, 31-01-2018]",1.8E+4,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1033,pH,-,"[01-02-2018, 28-02-2018]",6.9,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1034,Conductivity,µs/cm,"[01-02-2018, 28-02-2018]",551.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1035,DO,mg/l,"[01-02-2018, 28-02-2018]",0.6,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1036,COD,mg/l,"[01-02-2018, 28-02-2018]",261.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1037,BOD,mg/l,"[01-02-2018, 28-02-2018]",117.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1038,NO3-N,mg/l,"[01-02-2018, 28-02-2018]",0.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1039,NH3-N,mg/l,"[01-02-2018, 28-02-2018]",17.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1040,Phosphate,mg/l,"[01-02-2018, 28-02-2018]",2.05,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1041,TSS,mg/l,"[01-02-2018, 28-02-2018]",149.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1042,TDS,mg/l,"[01-02-2018, 28-02-2018]",259.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1043,FS,mg/l,"[01-02-2018, 28-02-2018]",269.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1044,Turbidity,NTU,"[01-02-2018, 28-02-2018]",160.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1045,TH as CaCO3,mg/l,"[01-02-2018, 28-02-2018]",206.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1046,Ca as CaCO3,mg/l,"[01-02-2018, 28-02-2018]",100.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1047,Mg as CaCO3,mg/l,"[01-02-2018, 28-02-2018]",106.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1048,Sulphate,mg/l,"[01-02-2018, 28-02-2018]",72.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1049,Chloride,mg/l,"[01-02-2018, 28-02-2018]",45.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1050,Total alkalinity as CaCO3,mg/l,"[01-02-2018, 28-02-2018]",208.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1051,P-Alkalinity,mg/l,"[01-02-2018, 28-02-2018]",0.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1052,Fluoride,mg/l,"[01-02-2018, 28-02-2018]",0.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1053,Colour,Hazen,"[01-02-2018, 28-02-2018]",20.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1054,Boron(B),mg/l,"[01-02-2018, 28-02-2018]",0.21,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1055,TKN,mg/l,"[01-02-2018, 28-02-2018]",4.7,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1056,Potassium,mg/l,"[01-02-2018, 28-02-2018]",9.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1057,Sodium,mg/l,"[01-02-2018, 28-02-2018]",27.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1058,Total Coliform,MPN/100ml,"[01-02-2018, 28-02-2018]",3.2E+4,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1059,Faecal Coliform,MPN/100ml,"[01-02-2018, 28-02-2018]",2E+4,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1060,pH,-,"[01-03-2018, 31-03-2018]",7.1,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1061,Conductivity,µs/cm,"[01-03-2018, 31-03-2018]",668.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1062,DO,mg/l,"[01-03-2018, 31-03-2018]",1.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1063,COD,mg/l,"[01-03-2018, 31-03-2018]",214.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1064,BOD,mg/l,"[01-03-2018, 31-03-2018]",98.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1065,NO3-N,mg/l,"[01-03-2018, 31-03-2018]",2.4,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1066,NH3-N,mg/l,"[01-03-2018, 31-03-2018]",20.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1067,Phosphate,mg/l,"[01-03-2018, 31-03-2018]",2.05,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1068,TSS,mg/l,"[01-03-2018, 31-03-2018]",82.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1069,TDS,mg/l,"[01-03-2018, 31-03-2018]",350.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1070,FS,mg/l,"[01-03-2018, 31-03-2018]",236.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1071,Turbidity,NTU,"[01-03-2018, 31-03-2018]",118.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1072,TH as CaCO3,mg/l,"[01-03-2018, 31-03-2018]",230.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1073,Ca as CaCO3,mg/l,"[01-03-2018, 31-03-2018]",120.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1074,Mg as CaCO3,mg/l,"[01-03-2018, 31-03-2018]",110.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1075,Sulphate,mg/l,"[01-03-2018, 31-03-2018]",49.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1076,Chloride,mg/l,"[01-03-2018, 31-03-2018]",50.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1077,Total alkalinity as CaCO3,mg/l,"[01-03-2018, 31-03-2018]",252.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1078,P-Alkalinity,mg/l,"[01-03-2018, 31-03-2018]",0.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1079,Fluoride,mg/l,"[01-03-2018, 31-03-2018]",0.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1080,Colour,Hazen,"[01-03-2018, 31-03-2018]",20.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1081,Boron(B),mg/l,"[01-03-2018, 31-03-2018]",0.15,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1082,TKN,mg/l,"[01-03-2018, 31-03-2018]",4.2,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1083,Potassium,mg/l,"[01-03-2018, 31-03-2018]",11.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1084,Sodium,mg/l,"[01-03-2018, 31-03-2018]",37.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1085,Total Coliform,MPN/100ml,"[01-03-2018, 31-03-2018]",1.4E+6,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1086,Faecal Coliform,MPN/100ml,"[01-03-2018, 31-03-2018]",9.3E+5,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1087,pH,-,"[01-04-2018, 30-04-2018]",7.3,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1088,Conductivity,µs/cm,"[01-04-2018, 30-04-2018]",663.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1089,DO,mg/l,"[01-04-2018, 30-04-2018]",0.7,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1090,COD,mg/l,"[01-04-2018, 30-04-2018]",176.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1091,BOD,mg/l,"[01-04-2018, 30-04-2018]",80.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1092,NO3-N,mg/l,"[01-04-2018, 30-04-2018]",2.1,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1093,NH3-N,mg/l,"[01-04-2018, 30-04-2018]",17.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1094,Phosphate,mg/l,"[01-04-2018, 30-04-2018]",2.36,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1095,TSS,mg/l,"[01-04-2018, 30-04-2018]",81.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1096,TDS,mg/l,"[01-04-2018, 30-04-2018]",394.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1097,FS,mg/l,"[01-04-2018, 30-04-2018]",273.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1098,Turbidity,NTU,"[01-04-2018, 30-04-2018]",125.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1099,TH as CaCO3,mg/l,"[01-04-2018, 30-04-2018]",212.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1100,Ca as CaCO3,mg/l,"[01-04-2018, 30-04-2018]",120.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1101,Mg as CaCO3,mg/l,"[01-04-2018, 30-04-2018]",92.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1102,Sulphate,mg/l,"[01-04-2018, 30-04-2018]",52.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1103,Chloride,mg/l,"[01-04-2018, 30-04-2018]",45.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1104,Total alkalinity as CaCO3,mg/l,"[01-04-2018, 30-04-2018]",258.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1105,P-Alkalinity,mg/l,"[01-04-2018, 30-04-2018]",0.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1106,Fluoride,mg/l,"[01-04-2018, 30-04-2018]",0.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1107,Colour,Hazen,"[01-04-2018, 30-04-2018]",20.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1108,Boron(B),mg/l,"[01-04-2018, 30-04-2018]",0.14,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1109,TKN,mg/l,"[01-04-2018, 30-04-2018]",4.1,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1110,Potassium,mg/l,"[01-04-2018, 30-04-2018]",8.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1111,Sodium,mg/l,"[01-04-2018, 30-04-2018]",30.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1112,Total Coliform,MPN/100ml,"[01-04-2018, 30-04-2018]",6.1E+5,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1113,Faecal Coliform,MPN/100ml,"[01-04-2018, 30-04-2018]",4.1E+5,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1114,pH,-,"[01-05-2018, 31-05-2018]",7.1,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1115,Conductivity,µs/cm,"[01-05-2018, 31-05-2018]",643.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1116,DO,mg/l,"[01-05-2018, 31-05-2018]",0.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1117,COD,mg/l,"[01-05-2018, 31-05-2018]",168.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1118,BOD,mg/l,"[01-05-2018, 31-05-2018]",73.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1119,NO3-N,mg/l,"[01-05-2018, 31-05-2018]",2.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1120,NH3-N,mg/l,"[01-05-2018, 31-05-2018]",24.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1121,Phosphate,mg/l,"[01-05-2018, 31-05-2018]",2.51,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1122,TSS,mg/l,"[01-05-2018, 31-05-2018]",105.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1123,TDS,mg/l,"[01-05-2018, 31-05-2018]",297.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1124,FS,mg/l,"[01-05-2018, 31-05-2018]",310.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1125,Turbidity,NTU,"[01-05-2018, 31-05-2018]",109.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1126,TH as CaCO3,mg/l,"[01-05-2018, 31-05-2018]",220.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1127,Ca as CaCO3,mg/l,"[01-05-2018, 31-05-2018]",124.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1128,Mg as CaCO3,mg/l,"[01-05-2018, 31-05-2018]",96.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1129,Sulphate,mg/l,"[01-05-2018, 31-05-2018]",52.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1130,Chloride,mg/l,"[01-05-2018, 31-05-2018]",48.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1131,Total alkalinity as CaCO3,mg/l,"[01-05-2018, 31-05-2018]",254.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1132,P-Alkalinity,mg/l,"[01-05-2018, 31-05-2018]",0.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1133,Fluoride,mg/l,"[01-05-2018, 31-05-2018]",0.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1134,Colour,Hazen,"[01-05-2018, 31-05-2018]",20.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1135,Boron(B),mg/l,"[01-05-2018, 31-05-2018]",0.14,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1136,TKN,mg/l,"[01-05-2018, 31-05-2018]",3.9,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1137,Potassium,mg/l,"[01-05-2018, 31-05-2018]",8.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1138,Sodium,mg/l,"[01-05-2018, 31-05-2018]",24.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1139,Total Coliform,MPN/100ml,"[01-05-2018, 31-05-2018]",2.2E+6,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1140,Faecal Coliform,MPN/100ml,"[01-05-2018, 31-05-2018]",1.1E+6,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1141,pH,-,"[01-06-2018, 30-06-2018]",6.9,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1142,Conductivity,µs/cm,"[01-06-2018, 30-06-2018]",638.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1143,DO,mg/l,"[01-06-2018, 30-06-2018]",0.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1144,COD,mg/l,"[01-06-2018, 30-06-2018]",141.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1145,BOD,mg/l,"[01-06-2018, 30-06-2018]",65.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1146,NO3-N,mg/l,"[01-06-2018, 30-06-2018]",2.2,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1147,NH3-N,mg/l,"[01-06-2018, 30-06-2018]",18.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1148,Phosphate,mg/l,"[01-06-2018, 30-06-2018]",1.83,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1149,TSS,mg/l,"[01-06-2018, 30-06-2018]",82.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1150,TDS,mg/l,"[01-06-2018, 30-06-2018]",317.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1151,FS,mg/l,"[01-06-2018, 30-06-2018]",271.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1152,Turbidity,NTU,"[01-06-2018, 30-06-2018]",95.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1153,TH as CaCO3,mg/l,"[01-06-2018, 30-06-2018]",194.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1154,Ca as CaCO3,mg/l,"[01-06-2018, 30-06-2018]",116.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1155,Mg as CaCO3,mg/l,"[01-06-2018, 30-06-2018]",78.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1156,Sulphate,mg/l,"[01-06-2018, 30-06-2018]",51.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1157,Chloride,mg/l,"[01-06-2018, 30-06-2018]",46.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1158,Total alkalinity as CaCO3,mg/l,"[01-06-2018, 30-06-2018]",246.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1159,P-Alkalinity,mg/l,"[01-06-2018, 30-06-2018]",0.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1160,Fluoride,mg/l,"[01-06-2018, 30-06-2018]",0.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1161,Colour,Hazen,"[01-06-2018, 30-06-2018]",20.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1162,Boron(B),mg/l,"[01-06-2018, 30-06-2018]",0.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1163,TKN,mg/l,"[01-06-2018, 30-06-2018]",4.3,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1164,Potassium,mg/l,"[01-06-2018, 30-06-2018]",9.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1165,Sodium,mg/l,"[01-06-2018, 30-06-2018]",38.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1166,Total Coliform,MPN/100ml,"[01-06-2018, 30-06-2018]",1.7E+5,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1167,Faecal Coliform,MPN/100ml,"[01-06-2018, 30-06-2018]",1.4E+5,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1168,pH,-,"[01-07-2018, 31-07-2018]",7.1,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1169,Conductivity,µs/cm,"[01-07-2018, 31-07-2018]",616.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1170,DO,mg/l,"[01-07-2018, 31-07-2018]",0.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1171,COD,mg/l,"[01-07-2018, 31-07-2018]",164.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1172,BOD,mg/l,"[01-07-2018, 31-07-2018]",77.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1173,NO3-N,mg/l,"[01-07-2018, 31-07-2018]",2.4,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1174,NH3-N,mg/l,"[01-07-2018, 31-07-2018]",22.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1175,Phosphate,mg/l,"[01-07-2018, 31-07-2018]",2.01,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1176,TSS,mg/l,"[01-07-2018, 31-07-2018]",80.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1177,TDS,mg/l,"[01-07-2018, 31-07-2018]",342.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
1178,FS,mg/l,"[01-07-2018, 31-07-2018]",274.0,CPCB 2018,NCC02 - Exit of Chandigarh Sector 53,30.721836,76.731728
